device_type,model,dataset,experiment_axis,scale_group,fit_time_seconds_mean,fit_time_seconds_std,fit_time_seconds_min,fit_time_seconds_max,fit_time_seconds_count,predict_time_seconds_mean,predict_time_seconds_std,predict_time_seconds_min,predict_time_seconds_max,predict_time_seconds_count,wall_time_seconds_mean,wall_time_seconds_std,wall_time_seconds_min,wall_time_seconds_max,wall_time_seconds_count,seconds_per_test_sample_mean,seconds_per_test_sample_std,seconds_per_test_sample_min,seconds_per_test_sample_max,seconds_per_test_sample_count,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,training_throughput_mean,training_throughput_std,training_throughput_min,training_throughput_max,training_throughput_count
light_laptop,lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,0.25346699998317485,0.015071415379526564,0.2428098999662324,0.2641241000001173,2,0.0307869500120432,0.0001515329665952274,0.0306798000237904,0.030894100000296,2,0.6076597000110269,0.2660059343460232,0.4195650999990903,0.7957543000229634,2,5.131158335340539e-06,2.5255494432534587e-08,5.1133000039650745e-06,5.149016666716003e-06,2,179.119140625,20.536480148913988,164.59765625,193.640625,2,2181655.0418861643,129723.51175217025,2089926.667046872,2273383.4167254567,2
light_laptop,lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.34361530000387575,0.2346702144690116,0.1776784000103362,0.5095521999974153,2,0.0186955000172019,0.015730156006436853,0.0075726000359281,0.0298183999984757,2,0.5162186000161455,0.17157762195309467,0.3948949000332504,0.6375422999990406,2,8.587735423611389e-06,7.225611394780367e-06,3.4784566081434035e-06,1.3697014239079374e-05,2,165.189453125,16.91255789533293,153.23046875,177.1484375,2,694043.82177612,473993.4819702657,358879.8164367215,1029207.8271155184,2
light_laptop,lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.18972679999114916,0.07307609173540436,0.1380541999824345,0.2413993999998638,2,0.0042188499951407495,0.0007237237840948397,0.0037070999997013,0.0047305999905802,2,0.3115292499842326,0.05805834574992761,0.2704757999999856,0.3525826999684796,2,9.99727487000183e-06,1.7149852703669485e-06,8.784597155690316e-06,1.1209952584313344e-05,2,157.955078125,20.735353931122702,143.29296875,172.6171875,2,201686.69493919698,77682.62270736041,146756.78564246633,256616.6042359276,2
light_laptop,lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,2.4686485500021718,0.5647152037316667,2.0693346000043675,2.867962499999976,2,0.0111817499946482,0.002442558962081494,0.0094545999891124,0.012908900000184,2,2.6603410000018357,0.38754344787730594,2.3863064000033773,2.934375600000294,2,2.7954374986620677e-05,6.106397405203754e-06,2.3636499972781165e-05,3.227225000046019e-05,2,200.697265625,20.221596660416854,186.3984375,214.99609375,2,143756.937361146,32885.08936181645,120503.66767348,167010.207048812,2
light_laptop,lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,1.903380700020648,0.3023208172614754,1.6896076000411997,2.1171538000000965,2,0.0138495000193188,0.0004965304092265139,0.0134983999998894,0.0142006000387482,2,2.0550285499978145,0.15548705362104442,1.9450825999956576,2.164974499999971,2,3.4623750048297096e-05,1.2413260230662688e-06,3.374599999972361e-05,3.550150009687058e-05,2,191.34375,19.091883092036785,177.84375,204.84375,2,64702.48690554679,10276.929213332172,57435.60056902548,71969.3732420681,2
light_laptop,lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,1.6509560999869561,0.2675533668275954,1.4617672999738716,1.8401449000000407,2,0.0109630500006687,0.003060711701350849,0.0087988000013865,0.0131272999999509,2,1.7969904500150733,0.12734561791876992,1.70694350003032,1.8870373999998264,2,2.740762500167193e-05,7.651779253377188e-06,2.1997000003466384e-05,3.281824999987748e-05,2,185.470703125,20.122159769312496,171.2421875,199.69921875,2,62849.990608015796,10185.447446113345,55647.79164944984,70052.18956658174,2
light_laptop,lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,2.584179450020258,2.1736622967199986,1.0471681000000217,4.121190800040495,2,0.042098449982177,0.015256465174972268,0.0313105000000177,0.0528863999643363,2,3.0316388000104553,2.638142427201969,1.166190400000005,4.897087200020906,2,0.00010524612495542223,3.8141162937401716e-05,7.827625000004445e-05,0.0001322159999108,2,187.302734375,29.154344044625034,166.6875,207.91796875,2,5748.503182785122,4835.308411301304,2329.423816025618,9167.582549544626,2
light_laptop,lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,2.183939599994119,1.320684124169783,1.250074899988249,3.117804299999989,2,0.01948735000723895,0.011600016024717342,0.0112849000142887,0.0276898000001892,2,2.4494739000160735,1.1985597119603095,1.6019642000319436,3.2969836000002037,2,4.87183750180975e-05,2.900004006179345e-05,2.821225003572181e-05,6.92245000004732e-05,2,195.01171875,13.827252135233817,185.234375,204.7890625,2,215172.59657091898,130120.37157454697,123163.59946004352,307181.5936817944,2
light_laptop,lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,1.7833298499984949,0.5142991973450245,1.4196653999970297,2.1469942999999603,2,0.01331740000159695,0.0013954045199014167,0.0123307000030763,0.0143041000001176,2,1.9224583500210883,0.38345135019631343,1.6513173000421375,2.193599400000039,2,3.3293500003992455e-05,3.488511299753495e-06,3.082675000769086e-05,3.576025000029404e-05,2,198.203125,33.23401871576773,174.703125,221.703125,2,43997.96909203201,12688.690310916045,35025.71012880723,52970.22805525679,2
light_laptop,lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,0.18339399999331354,0.039209353849969014,0.1556688000000576,0.2111191999865695,2,0.0033017499899869497,0.0003164302990961145,0.0030779999797232,0.0035255000002507,2,0.2894438999851445,0.15615633016551994,0.1790246999998999,0.3998630999703891,2,1.4872747702644153e-05,1.425361707640197e-06,1.3864864773528133e-05,1.5880630631760175e-05,2,156.935546875,20.707732572482605,142.29296875,171.578125,2,103943.83318174978,22223.03093827481,88229.77730677722,119657.88905672234,2
light_laptop,lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,0.20818850000205202,0.011603339433887893,0.1999837000039406,0.2163933000001634,2,0.00684240001783105,0.0003624629621477685,0.0065860999993674,0.0070987000362947,2,0.3417859000023782,0.1232314585588019,0.2546480999999403,0.428923700004816,2,4.623243255291281e-06,2.449074068566124e-07,4.450067567140158e-06,4.796418943442405e-06,2,162.40234375,19.914999579511747,148.3203125,176.484375,2,569600.0638473978,31746.532024201293,547151.8757739292,592048.2519208664,2
light_laptop,lightgbm,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,0.3824827500038736,0.26156806146574013,0.1975261999996291,0.5674393000081182,2,0.00667889999203905,0.0031029259662656333,0.0044847999997728,0.0088729999843053,2,0.521049949985354,0.4098212005530734,0.2312626000002637,0.8108372999704443,2,6.5159999922332465e-06,3.027244845137237e-06,4.375414633924687e-06,8.656585350541807e-06,2,160.263671875,20.43151898608161,145.81640625,174.7109375,2,279753.57635280513,191314.77342172962,144473.60272513225,415033.54998047807,2
light_laptop,tabicl,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,0.938907250020975,0.21607761945464216,0.7861173000419512,1.0916971999999987,2,894.5710126500003,451.6608736435575,575.1985461000004,1213.9434792000002,2,1715.3422334499949,777.2458949237712,1165.7463904999895,2264.9380764,2,0.149095168775,0.07527681227392627,0.09586642435,0.2023239132,2,15192.328125,4175.592601156308,12239.73828125,18144.91796875,2,603909.9985770647,138982.24223369596,505634.7126291069,702185.2845250225,2
light_laptop,tabicl,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.6309263499861117,0.062018285188456625,0.5870727999717928,0.6747799000004306,2,105.07655020000493,26.307314955711565,86.474469400011,123.67863099999886,2,213.56622270000844,51.12096922523175,177.41823870001826,249.7142066999986,2,0.048266674414333896,0.012084205308089837,0.0397218508957331,0.0568114979329347,2,10037.359375,225.9648107629261,9877.578125,10197.140625,2,291247.5521278889,28628.814993548564,271003.92290861555,311491.1813471622,2
light_laptop,tabicl,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.7591401500071697,0.46163261147714146,0.4327166000148281,1.0855636999995113,2,15.358953399991151,8.192334388715514,9.566098199982662,21.15180859999964,2,34.128736549986115,16.49380271879615,22.465856799972244,45.79161629999999,2,0.036395624170595095,0.019413114665202635,0.0226684791468783,0.0501227691943119,2,2331.38671875,18.351630680482117,2318.41015625,2344.36328125,2,57252.89741155048,34815.44817050883,32634.6579201349,81871.13690296606,2
light_laptop,tabicl,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,1.363664600008292,0.012671636373378382,1.354704399999946,1.372624800016638,2,115.9272627499953,39.464207659242724,88.02185389999067,143.8326715999999,2,227.3567251499893,75.43127879569705,174.01875639997888,280.6946938999997,2,0.2898181568749882,0.09866051914810675,0.2200546347499767,0.3595816789999997,2,14678.591796875,3253.075130343216,12378.3203125,16978.86328125,2,253445.69442323287,2355.1037990646732,251780.38455651604,255111.00428994972,2
light_laptop,tabicl,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,1.3960400499962589,0.9922661876030736,0.6944019000000026,2.097678199992515,2,29.94615090001219,13.268389795765426,20.563982500000066,39.32831930002431,2,64.7009387499939,30.357730290710908,43.23478179999995,86.16709569998784,2,0.0748653772500304,0.03317097448941355,0.0514099562500001,0.0983207982500607,2,5518.056640625,17.967693795384733,5505.3515625,5530.76171875,2,116541.79080106819,82834.6424982011,57968.85337342681,175114.72822870954,2
light_laptop,tabicl,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,0.6042282000067871,0.016264870190272243,0.5927272000001267,0.6157292000134476,2,19.37593395001238,1.2069101481114766,18.522519599999896,20.229348300024867,2,41.00362489999179,3.406859705049638,38.5946113,43.41263849998359,2,0.048439834875030896,0.003017275370278678,0.0463062989999997,0.0505733707500621,2,4683.453125,17.241252063150117,4671.26171875,4695.64453125,2,169533.8169274063,4563.582972715725,166306.87646089154,172760.75739392103,2
light_laptop,tabicl,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,0.814819200011982,0.5989458894754872,0.3913005000000567,1.2383379000239074,2,11.33096004998282,3.882466160734661,8.585641900000041,14.0762781999656,2,28.101868349990582,10.32553051992921,20.80061569999998,35.403120999981184,2,0.02832740012495705,0.009706165401836655,0.0214641047500001,0.035190695499914,2,1176.78125,17.313067595614374,1164.5390625,1189.0234375,2,16142.950653810498,11866.134153396539,7752.326727474514,24533.574580146484,2
light_laptop,tabicl,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,1.6059576999944056,0.16984874590551416,1.4858564999885857,1.7260589000002255,2,141.71370854999805,63.19760980797692,97.0262500999961,186.401167,2,279.6138526499831,126.37315710658163,190.25453629996628,368.9731689999999,2,0.3542842713749951,0.1579940245199423,0.2425656252499902,0.4660029174999999,2,15247.337890625,3944.5813681698355,12458.09765625,18036.578125,2,240454.46530071658,25430.86245599741,222472.1300066584,258436.80059477472,2
light_laptop,tabicl,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,0.5747632000225167,0.0049248573416772,0.5712807999998404,0.578245600045193,2,16.04970184998865,0.5848140068669904,15.636175900000126,16.463227799977176,2,34.28758280001523,2.1507805334059027,32.766751299999896,35.80841430003056,2,0.0401242546249716,0.001462035017167455,0.0390904397500003,0.0411580694999429,2,3596.5546875,17.915213213968546,3583.88671875,3609.22265625,2,130841.29369930044,1121.1133660685027,130048.54683567453,131634.04056292636,2
light_laptop,tabicl,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,0.3936170500037406,0.03250011258307031,0.3706360000069253,0.4165981000005558,2,4.714024750002864,0.20496289083852107,4.569094099999347,4.85895540000638,2,11.653788400001758,1.0461098941252496,10.914076999999452,12.393499800004063,2,0.0212343457207336,0.0009232562650383754,0.020581504954952,0.0218871864865152,2,1348.578125,21.340261685340884,1333.48828125,1363.66796875,2,47484.50680736332,3920.6935196943587,44712.15783263329,50256.85578209336,2
light_laptop,tabicl,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,0.4521695000030377,0.03587972944442323,0.4267987000057474,0.477540300000328,2,56.496632349979336,8.27536081636967,50.6450685999589,62.34819609999977,2,126.81317950000494,36.68145319787646,100.87547520000952,152.75088380000034,2,0.03817340023647245,0.005591460011060585,0.0342196409459181,0.0421271595270268,2,6221.267578125,12.288742458980273,6212.578125,6229.95703125,2,262675.6715615479,20843.360791024654,247937.18980349653,277414.1533195992,2
light_laptop,tabicl,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,0.437460400011787,0.053938953779228874,0.3993198000243865,0.4756009999991875,2,48.00191485000187,26.682691146502552,29.13440300000366,66.86942670000008,2,98.01612279999745,52.914676814747416,60.59979599999497,135.43244959999993,2,0.0468311364390262,0.02603189380146591,0.0284238078048816,0.0652384650731708,2,4353.611328125,2.9637717820826777,4351.515625,4355.70703125,2,188835.24482786475,23283.423007854228,172371.37852977612,205299.11112595335,2
light_laptop,tabpfn,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,1.5080197000118005,0.12129936000290148,1.4222481000001608,1.5937913000234405,2,5244.954740300009,782.357459182736,4691.744475600019,5798.165004999999,2,10208.666842549981,1902.1966931118575,8863.61066169996,11553.723023400002,2,0.8741591233833348,0.13039290986378935,0.7819574126000031,0.9663608341666664,2,4877.962890625,81.35871187441312,4820.43359375,4935.4921875,2,367230.95209084987,29538.658852750774,346343.96610891377,388117.938072786,2
light_laptop,tabpfn,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.8148679499836362,0.28354677871968487,0.6143700999673456,1.0153657999999268,2,758.9546472499924,283.09855226405585,558.7737411999842,959.1355533000004,2,1510.3909994999894,543.579779640957,1126.0220511999796,1894.7599477999995,2,0.3486240915250309,0.13004067628114646,0.2566714474965476,0.4405767355535142,2,1587.4453125,64.37986271834394,1541.921875,1632.96875,2,238875.90705817513,83120.82216689043,180100.6100461658,297651.20407018444,2
light_laptop,tabpfn,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.4598078000008172,0.16831404133889669,0.3407918000011705,0.578823800000464,2,71.26869815001646,41.555728260272495,41.884360900032334,100.6530354000006,2,148.28158929999972,85.49370916590232,87.8284077999997,208.73477079999972,2,0.16888317097160294,0.09847328971628556,0.0992520400474699,0.238514301895736,2,1305.15625,62.26959091824034,1261.125,1349.1875,2,82580.06018342223,30228.68177411606,61205.15431461457,103954.9660522299,2
light_laptop,tabpfn,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,1.811632399997279,0.04820926754501653,1.7775433000001613,1.8457214999943967,2,446.2116526999855,14.602196690417983,435.8863403999712,456.5369649999998,2,882.2375991000001,48.065410068572795,848.2502217000001,916.2249765,2,1.1155291317499636,0.03650549172604458,1.089715850999928,1.1413424124999991,2,2115.791015625,53.21807169187973,2078.16015625,2153.421875,2,190834.7468484666,5078.294784149978,187243.85016972988,194425.64352720333,2
light_laptop,tabpfn,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,1.0490894999792886,0.8393173644627535,0.4556025000000545,1.6425764999585226,2,222.34273900001375,101.6661534194058,150.4539125,294.2315655000275,2,400.0143276999865,133.6153142831492,305.53403289999994,494.49462249997305,2,0.5558568475000344,0.25416538354851453,0.37613478125,0.7355789137500688,2,3057.5390625,64.46825106599226,3011.953125,3103.125,2,170464.68159304728,136379.18146305296,74030.03756785183,266899.3256182427,2
light_laptop,tabpfn,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,0.4564989500046295,0.12973705308078962,0.3647610000000441,0.5482369000092149,2,131.96611404999226,0.08756067917175142,131.9041992999846,132.0280287999999,2,265.0685224499896,3.7690431217720244,262.4034065000001,267.7336383999791,2,0.3299152851249806,0.00021890169792934482,0.3297604982499615,0.3300700719999997,2,2566.67578125,59.153901663637114,2524.84765625,2608.50390625,2,233756.16779502053,66433.52925319324,186780.56876193272,280731.76682810835,2
light_laptop,tabpfn,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,0.6206869000102414,0.464682858024396,0.2921065000000453,0.9492673000204376,2,23.12782159999938,11.802988914905663,14.781848099999934,31.473795099998824,2,55.614991700019914,22.55535206897175,39.665949299999966,71.56403410003986,2,0.0578195539999984,0.029507472287264146,0.0369546202499998,0.078684487749997,2,694.037109375,63.35511031279625,649.23828125,738.8359375,2,21488.894349244172,16087.854990698712,10113.06299057527,32864.72570791307,2
light_laptop,tabpfn,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,1.515594550003243,0.06691726236507643,1.4682769000064582,1.562912200000028,2,441.7900139000146,77.53612616751471,386.96369330002926,496.6163345,2,969.0807930000042,264.4296756513036,782.1007762000081,1156.0608098000002,2,1.1044750347500365,0.19384031541878666,0.9674092332500732,1.24154083625,2,2235.982421875,65.2002170699549,2189.87890625,2282.0859375,2,253613.11704403494,11197.648798898237,245695.18364498857,261531.05044308127,2
light_laptop,tabpfn,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,0.38793940002744876,0.13227181879140754,0.2944091000001663,0.4814697000547312,2,95.05145150000908,2.707862165875763,93.13670379999984,96.96619920001832,2,194.38617454999894,4.291247277967128,191.35180450000007,197.4205445999978,2,0.23762862875002266,0.006769655414689304,0.2328417594999996,0.2424154980000457,2,2101.1015625,65.71673647652476,2054.6328125,2147.5703125,2,205807.662228974,70172.1810218501,156188.43717777383,255426.88728017415,2
light_laptop,tabpfn,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,0.23777949999202969,0.08629502872227607,0.1767596999998204,0.298799299984239,2,19.29476704999024,2.265044110200421,17.693138999980874,20.89639509999961,2,42.632726950003416,4.869139345854278,39.189725500007626,46.07572839999921,2,0.0869133650900461,0.010202901397299251,0.0796988243242381,0.0941279058558541,2,983.01171875,61.05425113807596,939.83984375,1026.18359375,2,83859.92941996758,30434.47823797559,62339.50347602063,105380.35536391452,2
light_laptop,tabpfn,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,0.7419163500017021,0.34199099263671207,0.5000922000035644,0.9837404999998398,2,469.95016365000083,279.4706751622349,272.3345541000017,667.5657732,2,973.0273172000038,603.4526479635376,546.321857700008,1399.7327766999997,2,0.31753389435810864,0.1888315372717803,0.1840098338513525,0.4510579548648648,2,2924.69140625,62.19777538577608,2880.7109375,2968.671875,2,178556.64292768232,82306.80393628869,120356.94372654098,236756.3421288237,2
light_laptop,tabpfn,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,0.6409705999722064,0.30580430817691645,0.424734299944248,0.8572069000001648,2,240.0006197999901,129.32282737631581,148.55557159997988,331.4456680000003,2,421.3619424999879,147.51776616393826,317.0511296999757,525.6727553000001,2,0.23414694614633175,0.12616861207445443,0.1449322649755901,0.3233616273170734,2,2237.830078125,61.86355694623088,2194.0859375,2281.57421875,2,144325.48684560103,68857.06717130155,95636.1877161561,193014.78597504596,2
light_laptop,xgboost,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,0.33498840001448116,0.017142106874479566,0.3228670999997121,0.3471097000292502,2,0.0057398500002818,0.00119055568639923,0.0048980000010487,0.0065816999995149,2,0.5212501000214615,0.03991165234317533,0.4930283000012423,0.5494719000416808,2,9.56641666713646e-07,1.984259477332028e-07,8.16333333508131e-07,1.0969499999191612e-06,2,177.59375,10.413252207317516,170.23046875,184.95703125,2,1649978.5681682685,84433.09963843114,1590275.3508573344,1709681.7854792026,2
light_laptop,xgboost,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.2954560500020307,0.09618610909559157,0.2274422000045888,0.3634698999994725,2,0.0041107000142801,0.0005000658956137402,0.0037571000284515,0.0044643000001087,2,0.38150105000931944,0.14491877707401055,0.279028000019025,0.4839740999996138,2,1.888240704768101e-06,2.2970413211473266e-07,1.7258153552832029e-06,2.050666054252999e-06,2,165.158203125,10.570693951566083,157.68359375,172.6328125,2,653568.4865670631,212770.0879706073,503117.3145293885,804019.6586047378,2
light_laptop,xgboost,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.13534380000555757,0.01663836399110377,0.123578699999598,0.1471089000115171,2,0.0022976499990363,0.0014528923016374898,0.0012703000002147,0.0033249999978579,2,0.17362534999847407,0.030377660869903574,0.15214510000078,0.1951055999961681,2,5.444668244162005e-06,3.442872752695446e-06,3.0101895739686603e-06,7.879146914355351e-06,2,158.880859375,14.526072508828333,148.609375,169.15234375,2,263748.60592072376,32423.6892068568,240821.59541147025,286675.6164299773,2
light_laptop,xgboost,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,3.939363450003839,1.0812289888000066,3.1748191000078805,4.703907799999797,2,0.0072855500081914,0.00032661263356824084,0.0070546000001741,0.0075165000162087,2,4.022241899991286,1.059772611360735,3.2728694999823347,4.771614300000238,2,1.8213875020478556e-05,8.165315839206601e-07,1.7636500000435263e-05,1.8791250040521847e-05,2,201.31640625,9.242106600977296,194.78125,207.8515625,2,91163.71188169566,25021.516614062326,73470.82780832033,108856.595955071,2
light_laptop,xgboost,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,3.6699789000139162,0.7413386689720926,3.1457733000279404,4.194184499999892,2,0.007957499999292801,0.0018701560157556002,0.0066350999986752,0.0092798999999104,2,3.7211062000119455,0.7355693847471404,3.200980100024026,4.241232299999865,2,1.9893749998232126e-05,4.675390039388868e-06,1.6587749996688217e-05,2.3199749999776032e-05,2,199.498046875,12.48209196946097,190.671875,208.32421875,2,33823.78377605771,6832.431337424689,28992.52524537324,38655.04230674218,2
light_laptop,xgboost,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,2.708156650013848,0.43776606054720085,2.3986093000276014,3.0177040000000943,2,0.0059038500047563,5.239661932336312e-05,0.0058667999999215,0.0059409000095911,2,2.757193100002155,0.42194079866836337,2.4588359000044875,3.0555502999998225,2,1.4759625011890876e-05,1.3099154830834362e-07,1.466699999980392e-05,1.485225002397783e-05,2,194.19921875,12.41303857286072,185.421875,202.9765625,2,38312.243728209316,6193.068634909515,33933.08290011108,42691.40455630755,2
light_laptop,xgboost,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,2.035900250001646,1.563528139479119,0.9303188999999747,3.141481600003317,2,0.0109397999991074,0.004539059848413404,0.0077302000000827,0.0141493999981321,2,2.1735863500033474,1.6178683056661867,1.0295806999999968,3.317592000006698,2,2.734949999776859e-05,1.1347649621033524e-05,1.932550000020683e-05,3.537349999533035e-05,2,181.18359375,15.197271523782751,170.4375,191.9296875,2,6687.462571729338,5135.829180532673,3055.882931158936,10319.04221229974,2
light_laptop,xgboost,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,2.9818129500217765,1.447446661818949,1.9583136000437664,4.005312299999787,2,0.0078809500073475,0.0020723178323541125,0.0064156000153161,0.0093462999993789,2,3.1486588499856225,1.4519694582644929,2.121961399971042,4.175356300000203,2,1.9702375018368914e-05,5.180794580885306e-06,1.6039000038290396e-05,2.3365749998447428e-05,2,183.912109375,11.565062862609667,175.734375,192.08984375,2,145979.8780837362,70862.28773119321,95872.6738986172,196087.0822688552,2
light_laptop,xgboost,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,2.6692807499962328,0.4560146481164865,2.346829699992668,2.9917317999997977,2,0.0067291000210616,0.00020053545331237755,0.0065873000421561,0.0068708999999671,2,2.7129008499997553,0.44731299206248487,2.396602799999528,3.029198899999983,2,1.6822750052654103e-05,5.0133863328098e-07,1.6468250105390326e-05,1.7177249999917877e-05,2,190.298828125,18.7908102828597,177.01171875,203.5859375,2,28589.5856808901,4884.188317053441,25135.943001309504,32043.2283604707,2
light_laptop,xgboost,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,0.1120016500099154,0.006456945558876169,0.1074359000194817,0.1165674000003491,2,0.00217140001450385,0.0006317292180843935,0.0017247000005227,0.002618100028485,2,0.14700169998559431,0.005743969783872683,0.1429401000004873,0.1510632999707013,2,9.781081146413912e-06,2.8456271084883966e-06,7.768918921273498e-06,1.1793243371554325e-05,2,156.314453125,12.620198762661467,147.390625,165.23828125,2,166586.88183155248,9603.808753835698,159795.96353649654,173377.80012660843,2
light_laptop,xgboost,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,0.28669769999578415,0.03507857747180241,0.261893399991095,0.3115020000004733,2,0.0027654499799609497,0.001097783249416698,0.0019892000000254,0.0035416999598965,2,0.33185850000973005,0.022422073174483595,0.3160037000197917,0.3477132999996684,2,1.8685472837574167e-06,7.417454387950452e-07,1.344054054071249e-06,2.3930405134435845e-06,2,163.41796875,12.47380556186894,154.59765625,172.23828125,2,416093.10382567043,50910.60785714756,380093.86777555227,452092.3398757886,2
light_laptop,xgboost,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,0.3399140499877831,0.17544033417372318,0.2158589999999094,0.4639690999756567,2,0.00238989997751555,0.00015768478005294967,0.0022784000002502,0.0025013999547809,2,0.38267844999109,0.19140609819092266,0.2473338999998304,0.5180229999823496,2,2.331609734161558e-06,1.5383880980774068e-07,2.222829268536837e-06,2.440390199786279e-06,2,160.673828125,12.697538566853746,151.6953125,169.65234375,2,278238.87676650216,143607.8371040884,176692.80131866818,379784.9522143362,2
