runner_dir,model,experiment_axis,scale_group,dataset,run_count,success_count,latest_success_run,missing_files,status
吴兆临_light_laptop,tabicl,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260615_211651,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260615_211728,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260615_211824,,complete
吴兆临_light_laptop,xgboost,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260615_211841,,complete
吴兆临_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260615_211843,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260615_211928,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260615_212436,,complete
吴兆临_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260615_212439,,complete
吴兆临_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260615_212444,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260615_212525,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260615_212949,,complete
吴兆临_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260615_212952,,complete
吴兆临_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260615_212956,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260615_213031,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260615_213344,,complete
吴兆临_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260615_213347,,complete
吴兆临_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260615_213352,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260615_213835,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260615_215354,,complete
吴兆临_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260615_215359,,complete
吴兆临_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260615_215405,,complete
吴兆临_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260615_220018,,complete
吴兆临_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260615_221937,,complete
吴兆临_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260615_221943,,complete
吴兆临_light_laptop,tabicl,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260615_221949,,complete
吴兆临_light_laptop,tabpfn,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260615_222037,,complete
吴兆临_light_laptop,lightgbm,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260615_222408,,complete
吴兆临_light_laptop,xgboost,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260615_222410,,complete
吴兆临_light_laptop,tabicl,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260615_222411,,complete
吴兆临_light_laptop,tabpfn,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260615_222424,,complete
吴兆临_light_laptop,lightgbm,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260615_222512,,complete
吴兆临_light_laptop,xgboost,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260615_222513,,complete
吴兆临_light_laptop,tabicl,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260615_222514,,complete
吴兆临_light_laptop,tabpfn,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260615_222750,,complete
吴兆临_light_laptop,lightgbm,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260615_225115,,complete
吴兆临_light_laptop,xgboost,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260615_225117,,complete
吴兆临_light_laptop,tabicl,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260615_225118,,complete
吴兆临_light_laptop,tabpfn,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260615_225336,,complete
吴兆临_light_laptop,lightgbm,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260615_230224,,complete
吴兆临_light_laptop,xgboost,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260615_230226,,complete
吴兆临_light_laptop,tabicl,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,2,1,run_20260616_092050,,complete
吴兆临_light_laptop,tabpfn,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_095847,,complete
吴兆临_light_laptop,lightgbm,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_131132,,complete
吴兆临_light_laptop,xgboost,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_131143,,complete
吴兆临_light_laptop,tabicl,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_131145,,complete
吴兆临_light_laptop,tabpfn,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_131559,,complete
吴兆临_light_laptop,lightgbm,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_134748,,complete
吴兆临_light_laptop,xgboost,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_134802,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_000953,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001035,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001156,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001209,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_001218,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_001350,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_002209,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_002213,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002219,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002305,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002737,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002741,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_002745,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_002824,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_003146,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_003150,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_003155,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_003455,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_004908,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_004913,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_004919,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_005235,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_010541,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_010545,,complete
姚怀宇_light_laptop,tabicl,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010549,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010614,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010745,,complete
姚怀宇_light_laptop,xgboost,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010747,,complete
姚怀宇_light_laptop,tabicl,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010749,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010804,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010846,,complete
姚怀宇_light_laptop,xgboost,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010849,,complete
姚怀宇_light_laptop,tabicl,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_010851,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011034,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011944,,complete
姚怀宇_light_laptop,xgboost,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011947,,complete
姚怀宇_light_laptop,tabicl,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_011949,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012052,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012612,,complete
姚怀宇_light_laptop,xgboost,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012615,,complete
姚怀宇_light_laptop,tabicl,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_012618,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_014558,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_041352,,complete
姚怀宇_light_laptop,xgboost,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_041402,,complete
姚怀宇_light_laptop,tabicl,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_041412,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_041713,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_043601,,complete
姚怀宇_light_laptop,xgboost,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_043604,,complete
